timestamp,fps,frame_ms,mem_mb
1785600138000,60.0,16.7,512.6
1785600139000,59.8,16.8,513.1
1785600140000,59.9,16.6,512.5
1785600141000,60.1,16.7,511.9
1785600142000,60.0,16.5,512.4
1785600143000,60.2,16.6,513.0
1785600144000,60.1,16.8,513.3
1785600145000,59.9,16.7,512.6
1785600146000,60.0,16.6,512.0
1785600147000,60.1,16.5,511.5
1785600148000,60.2,16.7,512.1
1785600149000,60.0,16.8,512.7
1785600150000,59.8,16.6,513.2
1785600151000,59.9,16.7,512.5
1785600152000,60.1,16.5,511.9
1785600153000,60.0,16.6,512.4
1785600154000,60.2,16.8,513.0
1785600155000,60.1,16.7,513.3
1785600156000,59.9,16.6,512.6
1785600157000,60.0,16.5,512.0
1785600158000,60.1,16.7,511.4
1785600159000,60.2,16.8,512.0
1785600160000,60.0,16.6,512.6
1785600161000,59.8,16.7,513.1
1785600162000,59.9,16.5,512.4
1785600163000,60.1,16.6,511.8
1785600164000,60.0,16.8,512.3
1785600165000,60.2,16.7,512.9
1785600166000,60.1,16.6,513.2
1785600167000,59.9,16.5,512.6
1785600168000,60.0,16.7,512.0
1785600169000,60.1,16.8,511.5
1785600170000,60.2,16.6,512.1
1785600171000,60.0,16.7,512.7
1785600172000,59.8,16.5,513.0
1785600173000,59.9,16.6,512.3
1785600174000,60.1,16.8,511.9
1785600175000,60.0,16.7,512.5
1785600176000,60.2,16.6,513.1
1785600177000,60.1,16.5,513.4
1785600178000,59.9,16.7,512.7
1785600179000,60.0,16.8,512.1
1785600180000,60.1,16.6,511.6
1785600181000,60.2,16.7,512.2
1785600182000,60.0,16.5,512.8
1785600183000,59.8,16.6,513.2
1785600184000,59.9,16.8,512.5
1785600185000,60.1,16.7,511.9
1785600186000,60.0,16.6,512.4
1785600187000,60.2,16.5,513.0
1785600188000,60.1,16.7,513.3
1785600189000,59.9,16.8,512.6
1785600190000,60.0,16.6,512.0
1785600191000,60.1,16.7,511.5
1785600192000,60.2,16.5,512.1
1785600193000,60.0,16.6,512.7
1785600194000,59.8,16.8,513.1
1785600195000,59.9,16.7,512.4
1785600196000,60.1,16.6,511.8
1785600197000,60.0,16.5,512.3
1785600198000,60.2,16.7,512.9
1785600199000,60.1,16.8,513.2
